Date	Amount
1/31/1938 16:00:00	0.005436
2/28/1938 16:00:00	0.005744
3/31/1938 16:00:00	0.004265
4/30/1938 16:00:00	0.004831
5/31/1938 16:00:00	0.004570
6/30/1938 16:00:00	0.005664
7/30/1938 16:00:00	0.006027
8/31/1938 16:00:00	0.005831
9/30/1938 16:00:00	0.005868
10/31/1938 16:00:00	0.006269
11/30/1938 16:00:00	0.006011
12/31/1938 16:00:00	0.006180
1/31/1939 16:00:00	0.005720
2/28/1939 16:00:00	0.005872
3/31/1939 16:00:00	0.005038
4/29/1939 16:00:00	0.004968
5/31/1939 16:00:00	0.005225
6/30/1939 16:00:00	0.004868
7/31/1939 16:00:00	0.005341
8/31/1939 16:00:00	0.004921
9/30/1939 16:00:00	0.005689
10/31/1939 16:00:00	0.005573
11/30/1939 16:00:00	0.005269
12/30/1939 16:00:00	0.005346
1/31/1940 16:00:00	0.005211
2/29/1940 16:00:00	0.005268
3/30/1940 16:00:00	0.005365
4/30/1940 16:00:00	0.005376
5/31/1940 16:00:00	0.004132
6/29/1940 16:00:00	0.004478
7/31/1940 16:00:00	0.004656
8/31/1940 16:00:00	0.004811
9/30/1940 16:00:00	0.004906
10/31/1940 16:00:00	0.005139
11/30/1940 16:00:00	0.004974
12/31/1940 16:00:00	0.004987
1/31/1941 16:00:00	0.004762
2/28/1941 16:00:00	0.004700
3/31/1941 16:00:00	0.004732
4/30/1941 16:00:00	0.004435
5/31/1941 16:00:00	0.004468
6/30/1941 16:00:00	0.004712
7/31/1941 16:00:00	0.004971
8/30/1941 16:00:00	0.004943
9/30/1941 16:00:00	0.004916
10/31/1941 16:00:00	0.004589
11/29/1941 16:00:00	0.004399
12/31/1941 16:00:00	0.004207
1/31/1942 16:00:00	0.004239
2/28/1942 16:00:00	0.004108
3/31/1942 16:00:00	0.003812
4/30/1942 16:00:00	0.003628
5/29/1942 16:00:00	0.003843
6/30/1942 16:00:00	0.003893
7/31/1942 16:00:00	0.003996
8/31/1942 16:00:00	0.003991
9/30/1942 16:00:00	0.004075
10/31/1942 16:00:00	0.004315
11/30/1942 16:00:00	0.004242
12/31/1942 16:00:00	0.004427
1/30/1943 16:00:00	0.004714
2/27/1943 16:00:00	0.004898
3/31/1943 16:00:00	0.005125
4/30/1943 16:00:00	0.005080
5/29/1943 16:00:00	0.005256
6/30/1943 16:00:00	0.005310
7/31/1943 16:00:00	0.004979
8/31/1943 16:00:00	0.004985
9/30/1943 16:00:00	0.005057
10/30/1943 16:00:00	0.004947
11/30/1943 16:00:00	0.004546
12/31/1943 16:00:00	0.004765
1/31/1944 16:00:00	0.004852
2/29/1944 16:00:00	0.004828
3/31/1944 16:00:00	0.004912
4/29/1944 16:00:00	0.004854
5/31/1944 16:00:00	0.005064
6/30/1944 16:00:00	0.005319
7/31/1944 16:00:00	0.005212
8/31/1944 16:00:00	0.005261
9/30/1944 16:00:00	0.005250
10/31/1944 16:00:00	0.005252
11/30/1944 16:00:00	0.005272
12/30/1944 16:00:00	0.005472
1/31/1945 16:00:00	0.005532
2/28/1945 16:00:00	0.005868
3/31/1945 16:00:00	0.005580
4/30/1945 16:00:00	0.006058
5/31/1945 16:00:00	0.006128
6/30/1945 16:00:00	0.006093
7/31/1945 16:00:00	0.005963
8/31/1945 16:00:00	0.006155
9/29/1945 16:00:00	0.006546
10/31/1945 16:00:00	0.006743
11/30/1945 16:00:00	0.006955
12/31/1945 16:00:00	0.007004
1/31/1946 16:00:00	0.007464
2/28/1946 16:00:00	0.006919
3/30/1946 16:00:00	0.007204
4/30/1946 16:00:00	0.007446
5/31/1946 16:00:00	0.007573
6/28/1946 16:00:00	0.007248
7/31/1946 16:00:00	0.007034
8/30/1946 16:00:00	0.006505
9/30/1946 16:00:00	0.005820
10/31/1946 16:00:00	0.005746
11/30/1946 16:00:00	0.005663
12/31/1946 16:00:00	0.005875
1/31/1947 16:00:00	0.006003
2/28/1947 16:00:00	0.005907
3/31/1947 16:00:00	0.005795
4/30/1947 16:00:00	0.005552
5/29/1947 16:00:00	0.005496
6/30/1947 16:00:00	0.005771
7/31/1947 16:00:00	0.005977
8/29/1947 16:00:00	0.005795
9/30/1947 16:00:00	0.005704
10/31/1947 16:00:00	0.005813
11/29/1947 16:00:00	0.005645
12/31/1947 16:00:00	0.005740
1/31/1948 16:00:00	0.005482
2/28/1948 16:00:00	0.005180
3/31/1948 16:00:00	0.005550
4/30/1948 16:00:00	0.005655
5/28/1948 16:00:00	0.006057
6/30/1948 16:00:00	0.006028
